depth	alpha	beta	turnrange	difficulty
7	0.0	0.51	(0:30)	0
7	-4.0	0.51	[30:40]	0
7	-10.0	0.51	(40:43]	0
10	-10.0	0.51	(43:64]	0
5	0.0	0.51	(0:10)	1
5	0.0	0.51	[10:20]	1
5	0.0	0.51	(20:30]	1
5	0.0	0.51	(30:40]	1
5	-5.0	0.51	(40:43]	1
5	-5.0	0.51	(43:64]	1
6	0.0	0.51	(0:10)	2
6	0.0	0.51	[10:20]	2
6	0.0	0.51	(20:30]	2
6	0.0	0.51	(30:40]	2
7	-5.0	0.51	(40:43]	2
8	-5.0	0.51	(43:64]	2
6	0.0	0.51	(0:10)	3
6	0.0	0.51	[10:20]	3
7	-2.0	0.51	(20:30]	3
7	-3.0	0.51	(30:40]	3
7	-5.0	0.51	(40:43]	3
10	-10.0	0.51	(43:64]	3
